ID,support_info,support_after_info,government_consideration,fairness,policy_helpfulness,waste_severity,recycling_effort,age_group,monthly_income,education,education_label
1,1,1,1,1,1,3,1,29.5,22500.5,4,Master or above
2,5,5,5,5,4,2,2,39.5,7500.0,4,Master or above
3,3,5,4,5,2,3,1,29.5,22500.5,4,Master or above
4,1,2,1,2,2,3,2,29.5,60000.5,4,Master or above
5,1,3,3,4,1,3,2,49.5,22500.5,2,Secondary
6,4,4,4,4,2,2,2,21.0,22500.5,4,Master or above
7,4,4,3,2,2,2,2,21.0,40000.5,4,Master or above
8,3,3,2,3,2,2,3,29.5,85000.0,4,Master or above
9,2,2,2,4,2,2,2,29.5,22500.5,4,Master or above
10,1,1,1,1,3,2,2,29.5,7500.0,4,Master or above
11,2,4,2,3,3,2,2,29.5,7500.0,4,Master or above
12,4,4,4,4,3,3,2,21.0,7500.0,4,Master or above
13,3,4,4,3,3,3,2,21.0,40000.5,3,Diploma or Bachelor
14,3,4,3,4,3,3,3,21.0,22500.5,4,Master or above
15,3,3,3,3,3,3,2,39.5,40000.5,2,Secondary
16,1,1,2,1,2,3,3,39.5,85000.0,4,Master or above
17,1,1,1,1,1,2,2,39.5,60000.5,4,Master or above
18,1,1,1,1,1,1,3,29.5,22500.5,4,Master or above
19,4,4,3,4,3,3,1,21.0,22500.5,4,Master or above
20,2,3,2,4,3,4,3,39.5,85000.0,4,Master or above
21,3,3,3,2,4,3,2,39.5,85000.0,4,Master or above
22,4,4,3,3,3,3,2,29.5,22500.5,4,Master or above
23,4,4,3,3,1,3,2,29.5,60000.5,4,Master or above
24,2,2,2,2,2,3,3,39.5,60000.5,4,Master or above
25,4,3,3,3,3,3,2,29.5,85000.0,4,Master or above
26,4,5,3,4,4,3,3,49.5,40000.5,4,Master or above
27,1,2,1,1,1,3,4,39.5,40000.5,4,Master or above
28,4,4,2,4,3,3,2,39.5,85000.0,4,Master or above
29,2,2,1,2,1,3,3,39.5,60000.5,4,Master or above
30,5,2,2,3,4,3,1,21.0,40000.5,4,Master or above
31,3,4,2,4,3,3,2,21.0,60000.5,3,Diploma or Bachelor
32,2,3,2,2,2,3,2,21.0,40000.5,3,Diploma or Bachelor
33,4,4,4,2,2,2,2,21.0,7500.0,4,Master or above
34,4,3,3,3,3,3,2,29.5,40000.5,4,Master or above
